sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
hawk,4/24/2023,17:46:41,17:47:14,feeding,flies away,absent,11,1,house sparrow,
hawk,4/24/2023,17:56:26,17:56:59,feeding,feeding,feeding,na,1,cardinal,
human,4/24/2023,18:03:56,18:04:29,feeding,flies away,absent,3,1,house sparrow,
bird,4/24/2023,18:07:40,18:08:12,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/24/2023,18:11:23,18:11:55,feeding,feeding,feeding,na,1,house sparrow,
human,4/24/2023,18:19:14,18:19:47,na,na,na,na,0,na,
silent,4/24/2023,18:34:33,18:35:06,feeding,feeding,feeding,na,1,house sparrow,
dog,4/24/2023,18:39:41,18:40:14,na,na,na,na,0,na,
silent,4/24/2023,18:43:27,18:44:00,absent,absent,feeding,na,1,red-bellied woodpecker,arrived @22
human,4/24/2023,20:35:18,20:35:50,na,na,na,na,na,na,night
bird,4/24/2023,20:50:12,20:50:45,na,na,na,na,na,na,night
silent,4/24/2023,21:10:38,21:11:10,na,na,na,na,na,na,night
hawk,4/24/2023,21:19:55,21:20:27,na,na,na,na,na,na,night
human,4/25/2023,0:28:13,0:28:45,na,na,na,na,na,na,night
silent,4/25/2023,0:33:27,0:34:00,na,na,na,na,na,na,night
human,4/25/2023,1:31:33,1:32:05,na,na,na,na,na,na,night
dog,4/25/2023,1:41:31,1:42:04,na,na,na,na,na,na,night
human,4/25/2023,2:04:30,2:05:02,na,na,na,na,na,na,night
human,4/25/2023,2:08:12,2:08:45,na,na,na,na,na,na,night
bird,4/25/2023,2:34:32,2:35:04,na,na,na,na,na,na,night
hawk,4/25/2023,2:51:58,2:52:31,na,na,na,na,na,na,night
bird,4/25/2023,6:22:55,6:23:28,feeding,flies away,absent,7,1,house sparrow,
hawk,4/25/2023,6:26:37,6:27:10,feeding,flies away,absent,18,1,house sparrow,
bird,4/25/2023,6:30:35,6:31:08,feeding,flies away,absent,6,1,red-bellied woodpecker,
human,4/25/2023,6:36:07,6:36:40,feeding,feeding,feeding,na,1,red-bellied woodpecker,
silent,4/25/2023,6:41:05,6:41:38,feeding,feeding,absent,13,1,house sparrow,chased by red-bellied woodpecker @ 13
silent,4/25/2023,6:50:35,6:51:07,feeding,flies away,feeding,6,1,tufted tit-mouse,comes back @27
human,4/25/2023,6:59:09,6:59:42,feeding,flies away,absent,5,1,house finch,
silent,4/25/2023,7:02:42,7:03:15,feeding,flies away,absent,13,1,red-bellied woodpecker,
dog,4/25/2023,7:10:00,7:10:33,feeding,feeding,feeding,na,1,nuthatch,
bird,4/25/2023,7:24:05,7:24:38,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,7:27:38,7:28:11,feeding,flies away,absent,7,1,house sparrow,
hawk,4/25/2023,7:31:17,7:31:50,feeding,flies away,absent,15,1,house sparrow,
hawk,4/25/2023,7:34:50,7:35:23,na,na,na,na,na,na,wind triggered
human,4/25/2023,7:42:07,7:42:40,na,na,na,na,na,na,wind triggered
bird,4/25/2023,7:46:35,7:47:08,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,7:58:19,7:58:52,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,8:03:55,8:04:28,feeding,feeding,feeding,na,1,red-bellied woodpecker,
human,4/25/2023,8:08:05,8:08:38,feeding,flies away,absent,4,1,cardinal,house sparrow arrives @16
silent,4/25/2023,8:11:43,8:12:16,feeding,flies away,absent,6,2,tufted tit-mouse,red-bellied woodpecker arrived @6
human,4/25/2023,8:16:08,8:16:40,na,na,na,na,na,na,seed refill
silent,4/25/2023,8:22:04,8:22:36,na,na,na,na,na,na,wind triggered
human,4/25/2023,8:29:13,8:29:46,na,na,na,na,na,na,wind triggered
silent,4/25/2023,8:33:35,8:34:08,na,na,na,na,na,na,wind triggered
bird,4/25/2023,8:37:35,8:38:07,feeding,flies away,absent,6,2,cardinal,nuthatch arrived @6
hawk,4/25/2023,8:41:27,8:42:00,na,na,na,na,na,na,wind triggered
bird,4/25/2023,8:47:44,8:48:17,na,na,na,na,na,na,wind triggered
human,4/25/2023,8:51:43,8:52:15,flies away,absent,absent,2,1,nuthatch,
bird,4/25/2023,8:55:24,8:55:57,flies away,absent,absent,2,1,nuthatch,
silent,4/25/2023,8:59:00,8:59:33,feeding,feeding,feeding,na,2,house sparrow,
hawk,4/25/2023,9:03:08,9:03:41,feeding,flies away,absent,11,1,red-bellied woodpecker,
dog,4/25/2023,9:06:41,9:07:14,feeding,flies away,absent,6,2,red-bellied woodpecker,nuthatch arrived @8
dog,4/25/2023,9:10:14,9:10:47,absent,flies away,absent,15,1,red-bellied woodpecker,tufted tit-mouse arrived @22
dog,4/25/2023,9:13:47,9:14:20,feeding,flies away,absent,17,1,red-bellied woodpecker,
bird,4/25/2023,9:17:21,9:17:54,feeding,flies away,absent,21,1,house sparrow,
human,4/25/2023,9:21:37,9:22:09,feeding,flies away,absent,8,1,house sparrow,nuthatch arrived @22
dog,4/25/2023,9:25:10,9:25:42,feeding,feeding,absent,25,1,red-bellied woodpecker,
bird,4/25/2023,9:28:46,9:29:19,feeding,flies away,absent,12,1,red-bellied woodpecker,nuthatch arrived @19
human,4/25/2023,9:32:19,9:32:53,feeding,feeding,feeding,na,1,house sparrow,
human,4/25/2023,9:35:54,9:36:26,feeding,flies away,absent,3,1,tufted tit-mouse,
dog,4/25/2023,9:40:03,9:40:36,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/25/2023,9:46:34,9:47:07,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,9:50:07,9:50:40,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,9:57:40,9:58:13,feeding,flies away,absent,3,1,nuthatch,
human,4/25/2023,10:01:46,10:02:19,feeding,feeding,feeding,na,1,red-bellied woodpecker,
hawk,4/25/2023,10:05:19,10:05:52,feeding,flies away,absent,6,1,red-bellied woodpecker,
bird,4/25/2023,10:09:00,10:09:33,feeding,flies away,absent,3,1,red-bellied woodpecker,
dog,4/25/2023,10:17:38,10:18:11,na,na,na,na,na,na,wind triggered
silent,4/25/2023,10:21:13,10:21:46,absent,absent,feeding,na,1,red-bellied woodpecker,arrived @24
hawk,4/25/2023,10:24:50,10:25:23,feeding,flies away,absent,18,1,red-bellied woodpecker,
human,4/25/2023,10:28:36,10:29:08,feeding,flies away,absent,8,1,red-bellied woodpecker,
human,4/25/2023,10:32:26,10:32:59,feeding,flies away,absent,17,1,red-bellied woodpecker,
hawk,4/25/2023,10:36:00,10:36:33,feeding,flies away,absent,13,1,nuthatch,
bird,4/25/2023,10:39:34,10:40:07,absent,absent,feeding,na,1,tufted tit-mouse,arrived @23
hawk,4/25/2023,10:43:07,10:43:40,absent,flies away,absent,7,1,red-bellied woodpecker,
silent,4/25/2023,10:46:40,10:47:12,absent,feeding,feeding,na,1,tufted tit-mouse,
dog,4/25/2023,10:55:28,10:56:01,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,10:59:09,10:59:42,absent,absent,feeding,na,1,chickadee,
dog,4/25/2023,11:03:18,11:03:51,absent,feeding,feeding,na,1,red-bellied woodpecker,house sparrow arrived @25
silent,4/25/2023,11:06:51,11:07:24,absent,feeding,feeding,na,1,chickadee,arrived @19
dog,4/25/2023,11:11:47,11:12:20,feeding,flies away,feeding,3,1,nuthatch,came back @31
dog,4/25/2023,11:15:20,11:15:52,flies away,absent,absent,2,1,chickadee,
dog,4/25/2023,11:19:14,11:19:47,absent,feeding,feeding,na,1,chickadee,
human,4/25/2023,11:22:51,11:23:23,feeding,flies away,absent,6,2,nuthatch,chickadee comes and leaves @14
silent,4/25/2023,11:26:33,11:27:06,feeding,flies away,absent,5,1,red-bellied woodpecker,
hawk,4/25/2023,11:30:30,11:31:02,feeding,flies away,absent,5,1,chickadee,
dog,4/25/2023,11:34:11,11:34:43,flies away,absent,absent,2,1,chickadee,
bird,4/25/2023,11:38:05,11:38:38,feeding,feeding,feeding,na,2,nuthatch,red-bellied woodpecker arrived @30
hawk,4/25/2023,11:41:38,11:42:10,feeding,feeding,feeding,na,1,cardinal,
dog,4/25/2023,11:47:48,11:48:20,feeding,flies away,absent,4,1,chickadee,
dog,4/25/2023,11:51:53,11:52:25,absent,absent,feeding,na,1,chickadee,arrived @29
dog,4/25/2023,11:55:26,11:55:58,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,11:59:00,11:59:33,feeding,feeding,feeding,na,1,house finch,
hawk,4/25/2023,12:03:10,12:03:43,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,12:06:43,12:07:15,feeding,feeding,feeding,na,2,house finch,
human,4/25/2023,12:10:15,12:10:48,feeding,feeding,feeding,na,1,house sparrow,
bird,4/25/2023,12:13:51,12:14:23,feeding,flies away,absent,4,2,chickadee,nuthatch arrived @14
hawk,4/25/2023,12:17:34,12:18:07,absent,feeding,feeding,na,1,house finch,arrived @22
silent,4/25/2023,12:21:07,12:21:40,feeding,flies away,absent,13,1,house finch,
human,4/25/2023,12:24:42,12:25:15,feeding,flies away,absent,5,2,house sparrow,tufted tit-mouse arrived @11
dog,4/25/2023,12:28:15,12:28:48,feeding,feeding,feeding,na,1,house finch,
dog,4/25/2023,12:32:45,12:33:18,feeding,flies away,absent,11,1,chickadee,
bird,4/25/2023,12:36:21,12:36:53,flies away,absent,absent,2,1,chickadee,
human,4/25/2023,12:39:53,12:40:26,feeding,feeding,feeding,na,1,house finch,
human,4/25/2023,12:50:52,12:51:24,feeding,flies away,absent,17,1,tufted tit-mouse,
silent,4/25/2023,12:54:24,12:54:57,feeding,flies away,absent,19,1,nuthatch,chickadee arrives @23
silent,4/25/2023,12:57:57,12:58:30,na,na,na,na,na,na,wind triggered
bird,4/25/2023,13:01:37,13:02:10,feeding,flies away,absent,17,1,red-bellied woodpecker,
hawk,4/25/2023,13:14:22,13:14:54,feeding,flies away,absent,19,1,chickadee,
dog,4/25/2023,13:17:54,13:18:27,feeding,feeding,feeding,na,1,cardinal,
silent,4/25/2023,13:21:27,13:22:00,flies away,absent,absent,2,1,nuthatch,
hawk,4/25/2023,13:25:00,13:25:32,feeding,flies away,absent,11,1,red-bellied woodpecker,
hawk,4/25/2023,13:28:55,13:29:27,feeding,flies away,absent,14,2,chickadee,nuthatch arrived @15
silent,4/25/2023,13:32:27,13:33:00,feeding,feeding,feeding,na,1,house sparrow,
human,4/25/2023,13:36:00,13:36:33,feeding,feeding,feeding,na,2,house sparrow,
bird,4/25/2023,13:39:33,13:40:06,feeding,feeding,feeding,na,2,house sparrow,
silent,4/25/2023,13:43:06,13:43:38,na,na,na,na,na,na,wind triggered
bird,4/25/2023,13:46:49,13:47:22,feeding,flies away,absent,6,1,chickadee,
silent,4/25/2023,14:06:19,14:06:52,feeding,flies away,absent,5,2,chickadee,nuthatch arrived @6
silent,4/25/2023,14:09:52,14:10:25,feeding,flies away,absent,3,2,chickadee,nuthatch arrived @4
bird,4/25/2023,14:13:25,14:13:57,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,14:24:42,14:25:15,feeding,flies away,absent,19,1,chickadee,
bird,4/25/2023,14:28:16,14:28:49,feeding,feeding,feeding,na,1,starling,house sparrow arrived @31
dog,4/25/2023,14:31:49,14:32:22,feeding,flies away,absent,24,2,house sparrow,tufted tit-mouse arrived @25
hawk,4/25/2023,14:35:33,14:36:06,feeding,flies away,absent,10,1,nuthatch,
dog,4/25/2023,15:09:23,15:09:56,feeding,flies away,absent,9,1,red-bellied woodpecker,
human,4/25/2023,15:17:03,15:17:35,flies away,absent,absent,2,1,nuthatch,
silent,4/25/2023,15:22:55,15:23:28,feeding,flies away,absent,4,1,house sparrow,tufted tit-mouse arrived @31
hawk,4/25/2023,15:26:43,15:27:15,flies away,flies away,absent,2,1,tufted tit-mouse,left and came back multiple times
bird,4/25/2023,15:31:03,15:31:36,feeding,flies away,absent,3,1,chickadee,
silent,4/25/2023,15:37:48,15:38:21,feeding,flies away,absent,4,1,chickadee,
human,4/25/2023,15:41:31,15:42:04,feeding,feeding,flies away,na,1,nuthatch,
hawk,4/25/2023,15:45:04,15:45:37,feeding,feeding,feeding,na,1,cardinal,
human,4/25/2023,15:48:59,15:49:32,na,na,na,na,na,na,wind triggered
silent,4/25/2023,15:53:20,15:53:53,na,na,na,na,na,na,wind triggered
bird,4/25/2023,15:56:53,15:57:26,absent,flies away,absent,19,1,nuthatch,arrived @11 left @19
hawk,4/25/2023,16:15:40,16:16:13,flies away,absent,absent,2,1,chickadee,
dog,4/25/2023,16:19:46,16:20:19,feeding,flies away,absent,3,1,chickadee,
bird,4/25/2023,16:36:15,16:36:48,feeding,feeding,feeding,na,1,red-bellied woodpecker,
dog,4/25/2023,16:39:48,16:40:21,feeding,feeding,feeding,na,1,red-bellied woodpecker,
human,4/25/2023,16:44:16,16:44:48,feeding,feeding,flies away,32,1,red-bellied woodpecker,
bird,4/25/2023,16:47:48,16:48:21,feeding,feeding,feeding,na,1,tufted tit-mouse,
human,4/25/2023,16:53:57,16:54:30,na,na,na,na,na,na,wind triggered
human,4/25/2023,16:57:30,16:58:03,absent,feeding,absent,20,2,chickadee,tufted tit-mouse arrives @26 leaves @26
dog,4/25/2023,17:02:01,17:02:34,feeding,flies away,absent,5,1,red-bellied woodpecker,
dog,4/25/2023,17:15:44,17:16:16,feeding,feeding,feeding,na,1,house sparrow,
dog,4/25/2023,17:19:17,17:19:49,na,na,na,na,na,na,wind triggered
dog,4/25/2023,17:23:08,17:23:41,feeding,feeding,feeding,na,2,house sparrow,
silent,4/25/2023,17:28:43,17:29:16,na,na,na,na,na,na,wind triggered
bird,4/25/2023,17:32:49,17:33:22,feeding,flies away,absent,11,1,nuthatch,
hawk,4/25/2023,17:36:23,17:36:56,na,na,na,na,na,na,wind triggered
dog,4/25/2023,17:41:05,17:41:38,feeding,flies away,absent,3,1,nuthatch,
dog,4/25/2023,17:44:46,17:45:19,feeding,flies away,absent,17,2,nuthatch,chickadee arrived @22 left @25
hawk,4/25/2023,17:48:23,17:48:56,feeding,feeding,feeding,na,1,house sparrow,
bird,4/25/2023,17:52:43,17:53:16,na,na,na,na,na,na,
bird,4/25/2023,17:56:16,17:56:49,feeding,flies away,absent,12,2,red-bellied woodpecker,#2 house finch
silent,4/25/2023,18:00:50,18:01:23,feeding,flies away,absent,8,1,house finch,
human,4/25/2023,18:07:29,18:08:02,feeding,flies away,absent,4,1,tufted tit-mouse,
bird,4/25/2023,18:13:39,18:14:11,feeding,flies away,absent,3,1,tufted tit-mouse,
human,4/25/2023,18:17:11,18:17:44,absent,feeding,flies away,24,1,tufted tit-mouse,came back @35
bird,4/25/2023,18:21:48,18:22:21,feeding,flies away,absent,3,1,house sparrow,
silent,4/25/2023,18:25:21,18:25:54,feeding,feeding,feeding,na,1,house sparrow,
bird,4/25/2023,18:28:54,18:29:27,na,na,na,na,na,na,wind triggered
dog,4/25/2023,18:41:52,18:42:25,feeding,flies away,absent,3,1,chickadee,
bird,4/25/2023,18:45:25,18:45:58,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,18:49:00,18:49:33,feeding,flies away,absent,4,1,nuthatch,
dog,4/25/2023,19:58:17,19:58:50,na,na,na,na,na,na,night
hawk,4/25/2023,20:02:48,20:03:20,na,na,na,na,na,na,night
dog,4/26/2023,6:10:41,6:11:14,feeding,feeding,absent,26,2,cardinal,red-bellied woodpecker arrived @26
bird,4/26/2023,6:14:14,6:14:47,feeding,flies away,absent,12,1,house sparrow,
human,4/26/2023,6:17:58,6:18:30,feeding,flies away,absent,5,1,nuthatch,
silent,4/26/2023,6:22:18,6:22:51,feeding,flies away,feeding,3,1,nuthatch,came back @20
bird,4/26/2023,6:25:53,6:26:26,feeding,flies away,absent,11,3,house finch,red-bellied woodpecker arrived @ 31
bird,4/26/2023,6:29:26,6:29:58,feeding,feeding,flies away,35,2,house sparrow,house finch arrived @36
bird,4/26/2023,6:33:40,6:34:13,feeding,flies away,absent,9,1,tufted tit-mouse,
hawk,4/26/2023,6:37:13,6:37:46,feeding,flies away,feeding,12,1,tufted tit-mouse,came back @29
hawk,4/26/2023,6:40:58,6:41:31,feeding,flies away,absent,9,1,red-bellied woodpecker,
dog,4/26/2023,6:46:52,6:47:25,feeding,feeding,flies away,21,1,house sparrow,
bird,4/26/2023,6:54:43,6:55:16,feeding,feeding,flies away,31,1,house sparrow,
silent,4/26/2023,6:58:16,6:58:49,na,na,na,na,na,na,wind triggered
human,4/26/2023,7:01:49,7:02:22,absent,feeding,feeding,na,1,red-bellied woodpecker,
hawk,4/26/2023,7:05:22,7:05:55,feeding,flies away,absent,7,2,red-bellied woodpecker,nuthatch arrived @17 flies away @24
bird,4/26/2023,7:09:28,7:10:01,feeding,flies away,absent,16,1,tufted tit-mouse,
human,4/26/2023,7:13:01,7:13:34,feeding,feeding,feeding,na,1,tufted tit-mouse,
hawk,4/26/2023,7:16:34,7:17:07,na,na,na,na,na,na,wind triggered
human,4/26/2023,7:20:07,7:20:40,na,na,na,na,na,na,wind triggered
hawk,4/26/2023,7:29:23,7:29:56,feeding,feeding,feeding,24,1,chickadee,
silent,4/26/2023,7:32:57,7:33:30,na,na,na,na,na,na,wind triggered
human,4/26/2023,7:36:33,7:37:06,feeding,flies away,feeding,7,1,cardinal,left and came back
hawk,4/26/2023,7:40:06,7:40:39,na,na,na,na,na,wind triggered,
dog,4/26/2023,7:43:39,7:44:11,feeding,flies away,absent,6,1,nuthatch,
dog,4/26/2023,7:47:11,7:47:44,absent,absent,feeding,26,1,house sparrow,
dog,4/26/2023,7:50:44,7:51:17,na,na,na,na,na,wind triggered,
human,4/26/2023,7:55:33,7:56:06,feeding,flies away,absent,7,1,house sparrow,
dog,4/26/2023,7:59:06,7:59:39,na,na,na,na,na,wind triggered,
hawk,4/26/2023,8:03:56,8:04:29,feeding,feeding,feeding,25,1,house sparrow,
bird,4/26/2023,8:07:35,8:08:07,feeding,feeding,feeding,30,1,red-bellied woodpecker,
silent,4/26/2023,8:12:41,8:13:14,feeding,flies away,absent,8,2,nuthatch,#2 house sparrow
dog,4/26/2023,8:16:14,8:16:46,feeding,flies away,absent,4,1,chickadee,
silent,4/26/2023,8:19:46,8:20:19,feeding,feeding,feeding,na,2,house sparrow,#2 house sparrow
silent,4/26/2023,8:23:19,8:23:52,feeding,feeding,feeding,na,2,house sparrow,#2 purple finch
silent,4/26/2023,8:26:52,8:27:24,na,na,na,na,na,na,wind triggered
hawk,4/26/2023,8:31:03,8:31:36,feeding,feeding,feeding,na,1,tufted tit-mouse,
silent,4/26/2023,8:34:39,8:35:12,feeding,feeding,feeding,na,2,tufted tit-mouse,scared away a second bird that tried to land
human,4/26/2023,8:39:13,8:39:46,feeding,feeding,feeding,na,1,tufted tit-mouse,
bird,4/26/2023,8:42:46,8:43:19,feeding,feeding,feeding,21,1,house finch,
human,4/26/2023,8:48:04,8:48:36,feeding,feeding,feeding,na,1,house sparrow,
dog,4/26/2023,8:51:54,8:52:27,feeding,feeding,feeding,na,2,house finch,#2 white-breasted nuthatch
bird,4/26/2023,8:55:30,8:56:03,flies away,absent,absent,1,1,chickadee,
bird,4/26/2023,8:59:08,8:59:40,feeding,flies away,absent,7,2,cardinal,
human,4/26/2023,9:02:40,9:03:13,na,na,na,na,na,na,wind triggered
